"","Quantity","UnitPrice","month","week","time","Sales"
"1",12,2.95,5,7,14,35.4
"2",30,0.21,2,5,12,6.3
"3",12,2.55,2,1,13,30.6
"4",24,0.55,9,7,14,13.2
"5",1,13.29,1,1,17,13.29
"6",1,4.13,4,1,13,4.13
"7",2,3.75,11,2,14,7.5
"8",2,8.5,12,5,11,17
"9",12,1.25,5,5,10,15
"10",2,28,11,4,12,56
"11",24,0.12,6,4,16,2.88
"12",1,2.55,4,7,13,2.55
"13",2,0.85,8,7,12,1.7
"14",2,4.13,9,4,16,8.26
"15",1,2.95,8,2,14,2.95
"16",10,5.95,3,5,17,59.5
"17",24,4.25,3,3,12,102
"18",6,2.95,11,3,15,17.7
"19",4,3.25,6,5,8,13
"20",24,1.45,11,2,10,34.8
"21",3,5.95,6,1,14,17.85
"22",24,0.29,8,2,10,6.96
"23",32,2.55,1,5,12,81.6
"24",1,2.1,11,2,14,2.1
"25",2,7.95,1,1,15,15.9
"26",1,10.79,4,1,13,10.79
"27",2,1.25,6,1,12,2.5
"28",48,0.55,10,5,15,26.4
"29",2,1.95,1,3,11,3.9
"30",9,4.96,10,2,10,44.64
"31",2,0.85,8,3,14,1.7
"32",2,8.5,8,2,10,17
"33",2,0.55,12,5,10,1.1
"34",1,1.25,10,4,12,1.25
"35",3,1.25,9,3,12,3.75
"36",2,1.25,5,7,13,2.5
"37",1,2.46,3,4,18,2.46
"38",10,1.65,11,4,10,16.5
"39",4,1.25,5,4,12,5
"40",100,0.72,2,3,11,72
"41",2,2.08,10,7,13,4.16
"42",2,1.63,7,1,15,3.26
"43",8,1.65,11,5,12,13.2
"44",1,4.95,11,2,16,4.95
"45",2,0.83,9,5,17,1.66
"46",4,4.96,7,5,9,19.84
"47",8,0.83,11,3,15,6.64
"48",10,1.65,5,7,16,16.5
"49",2,4.95,6,7,13,9.9
"50",12,2.08,2,1,13,24.96
"51",2,0.55,9,2,12,1.1
"52",2,2.95,11,2,12,5.9
"53",1,3.75,8,2,15,3.75
"54",1,1.65,12,2,10,1.65
"55",2,1.95,12,2,14,3.9
"56",24,1.95,10,7,15,46.8
"57",1,20.79,2,3,11,20.79
"58",12,0.42,1,3,16,5.04
"59",12,1.95,11,4,15,23.4
"60",3,4.95,12,5,12,14.85
"61",3,1.65,9,2,16,4.95
"62",10,2.08,5,5,14,20.8
"63",1,0.65,4,1,13,0.65
"64",24,0.39,6,4,9,9.36
"65",8,1.25,8,2,11,10
"66",12,0.85,5,5,15,10.2
"67",10,1.65,7,5,14,16.5
"68",6,2.95,11,2,14,17.7
"69",1,4.13,5,2,16,4.13
"70",3,1.25,5,7,13,3.75
"71",1,4.15,4,2,16,4.15
"72",24,1.25,2,3,16,30
"73",25,0.42,6,5,9,10.5
"74",2,3.29,11,2,16,6.58
"75",1,3.29,3,5,15,3.29
"76",3,0.29,7,2,13,0.87
"77",2,8.29,2,1,14,16.58
"78",3,1.25,7,2,17,3.75
"79",3,4.95,8,2,12,14.85
"80",24,1.45,10,7,11,34.8
"81",4,7.46,6,1,15,29.84
"82",1,2.46,2,3,15,2.46
"83",9,0.42,7,1,16,3.78
"84",36,0.65,11,1,13,23.4
"85",36,0.65,12,4,13,23.4
"86",1,5.95,10,1,16,5.95
"87",4,2.46,11,3,15,9.84
"88",25,0.42,5,2,12,10.5
"89",2,2.95,10,1,11,5.9
"90",3,5.95,3,5,10,17.85
"91",1,1.66,12,5,14,1.66
"92",1,2.46,11,5,13,2.46
"93",32,0.79,12,3,11,25.28
"94",12,1.25,7,1,15,15
"95",2,4.13,7,5,13,8.26
"96",1,1.25,11,2,11,1.25
"97",10,0.85,3,2,9,8.5
"98",3,1.65,10,1,11,4.95
"99",5,2.1,5,7,12,10.5
"100",2,1.95,4,3,16,3.9
"101",6,8.5,9,5,9,51
"102",1,0.83,8,1,15,0.83
"103",1,0.83,10,4,17,0.83
"104",-5,0.85,9,5,14,-4.25
"105",12,1.95,2,2,11,23.4
"106",2,1.45,11,2,12,2.9
"107",50,1.85,12,3,9,92.5
"108",1,4.95,10,3,14,4.95
"109",1,1.63,9,3,16,1.63
"110",4,18,11,1,15,72
"111",8,1.25,11,5,12,10
"112",1,7.46,3,4,18,7.46
"113",-4,0.85,9,5,14,-3.4
"114",3,2.95,9,7,12,8.85
"115",18,7.46,9,4,15,134.28
"116",1,8.25,8,7,12,8.25
"117",2,1.65,11,7,12,3.3
"118",2,0.55,11,5,15,1.1
"119",3,1.25,10,3,13,3.75
"120",10,1.65,8,3,10,16.5
"121",10,2.08,10,2,9,20.8
"122",1,4.96,12,1,17,4.96
"123",10,2.95,6,4,12,29.5
"124",19,0.42,4,3,12,7.98
