"","Quantity","UnitPrice","month","week","time","Sales"
"1",1,4.95,11,7,14,4.95
"2",2,3.29,11,2,9,6.58
"3",3,2.1,12,3,11,6.3
"4",1,0.83,1,5,14,0.83
"5",6,3.75,11,1,16,22.5
"6",12,1.06,10,4,10,12.72
"7",5,3.29,11,5,15,16.45
"8",2,1.25,12,5,16,2.5
"9",1,8.29,5,2,15,8.29
"10",12,1.25,6,1,11,15
"11",2,18,3,2,13,36
"12",1,1.65,12,7,14,1.65
"13",6,1.25,3,5,13,7.5
"14",2,3.95,10,1,14,7.9
"15",6,2.1,10,2,15,12.6
"16",5,3.29,12,1,17,16.45
"17",1,1.63,12,5,10,1.63
"18",3,5.95,12,4,17,17.85
"19",2,0.83,10,4,17,1.66
"20",1,2.48,4,1,15,2.48
"21",12,0.85,10,4,16,10.2
"22",2,1.25,11,3,11,2.5
"23",1,2.51,1,1,16,2.51
"24",12,0.65,12,1,16,7.8
"25",3,1.63,12,2,16,4.89
"26",24,0.55,3,1,10,13.2
"27",3,5.95,1,5,13,17.85
"28",3,3.29,12,5,10,9.87
"29",1,1.65,4,2,11,1.65
"30",1,8.29,6,2,16,8.29
"31",2,9.95,5,1,13,19.9
"32",2,12.5,11,1,15,25
"33",6,4.95,10,1,15,29.7
"34",2,1.25,7,3,12,2.5
"35",2,0.85,1,1,14,1.7
"36",12,0.65,3,4,12,7.8
"37",1,1.63,9,2,12,1.63
"38",3,2.51,1,3,11,7.53
"39",36,0.19,8,3,12,6.84
"40",6,2.95,3,2,9,17.7
"41",2,4.15,9,7,15,8.3
"42",2,2.1,11,7,14,4.2
"43",2,15.79,5,2,16,31.58
"44",12,1.25,3,3,9,15
"45",3,4.95,10,4,10,14.85
"46",12,1.25,7,3,14,15
"47",12,1.45,9,3,11,17.4
"48",1,7.95,1,4,12,7.95
"49",3,4.95,10,3,8,14.85
"50",3,2.08,9,1,11,6.24
"51",6,2.95,2,1,10,17.7
"52",10,0.29,11,5,12,2.9
"53",3,2.51,12,2,15,7.53
"54",24,0.85,2,4,17,20.4
"55",20,1.65,4,4,14,33
"56",12,1.65,12,2,14,19.8
"57",8,4.13,9,2,10,33.04
"58",24,0.85,7,7,15,20.4
"59",1,4.13,9,3,16,4.13
"60",5,0.21,11,5,13,1.05
"61",1,3.25,1,1,15,3.25
"62",2,4.13,7,1,16,8.26
"63",4,0.85,3,5,11,3.4
"64",12,1.45,6,7,13,17.4
"65",1,0.85,1,1,9,0.85
"66",1,0.42,4,1,13,0.42
"67",5,1.25,1,3,13,6.25
"68",1,2.46,8,4,10,2.46
"69",2,2.95,5,1,13,5.9
"70",12,0.85,12,3,16,10.2
"71",3,2.55,12,4,16,7.65
"72",5,2.95,10,5,16,14.75
"73",3,4.95,2,3,10,14.85
"74",1,0.85,12,1,15,0.85
"75",6,1.65,11,5,16,9.9
"76",1,5.45,3,4,12,5.45
"77",4,1.65,6,7,15,6.6
"78",1,2.55,1,3,13,2.55
"79",3,2.95,11,1,14,8.85
"80",1,0.42,7,7,11,0.42
"81",7,3.29,7,2,17,23.03
"82",2,0.65,3,3,12,1.3
"83",4,7.95,6,5,15,31.8
"84",2,2.46,11,4,9,4.92
"85",6,0.83,9,5,17,4.98
"86",3,1.63,9,3,14,4.89
"87",8,1.25,9,1,15,10
"88",1,4.96,12,4,16,4.96
"89",1,1.25,6,4,11,1.25
"90",2,1.63,10,1,13,3.26
"91",6,2.55,9,1,10,15.3
"92",12,1.45,7,4,17,17.4
"93",4,1.25,12,7,16,5
"94",12,1.25,6,1,14,15
"95",2,2.95,5,3,12,5.9
"96",1,10.79,10,3,16,10.79
"97",12,1.25,10,7,12,15
"98",20,0.85,4,4,14,17
"99",1,3.29,6,4,15,3.29
